,batter_strength_score_PvP,bowler_dominance_score_PvP,mapped bat players,mapped bowl players,interaction_score
0,0.7774580260764206,-0.34261950406860714,Virat Kohli,Ishant Sharma,0.5957992973468709
1,0.12881220557877454,0.47312428542067536,Rohit Sharma,Siddharth Trivedi,0.20559285479761605
2,-0.15854019872232344,-0.05135141225501684,Virat Kohli,Siddharth Trivedi,-0.12380594723898314
3,0.486720276924803,-0.1584138067977623,MS Dhoni,Ishant Sharma,0.305769855349096
4,-0.1966413194487677,0.12120336283486662,Ravindra Jadeja,Ishant Sharma,-0.045669857345838054
5,-0.3007373600709469,-0.41371643988198875,Rohit Sharma,Virat Kohli,-0.47034898194342356
6,-0.13017570355764213,0.882435389924981,Manish Pandey,Siddharth Trivedi,0.3897403815630538
7,0.047283132810674304,-0.24351468449250446,MS Dhoni,Siddharth Trivedi,-0.05752185694238867
8,-1.1975126452354496,0.7096151458009409,Ravindra Jadeja,Jesse Ryder,0.41511158152633054
9,0.08478111557559505,-0.06267531935607328,Rohit Sharma,Ishant Sharma,0.03111222509699229
10,-0.3007373600709469,-0.41371643988198875,Ravi Balara,Ishant Sharma,-0.47034898194342356
11,0.616860334065206,-0.41371643988198875,Rohit Sharma,Jesse Ryder,0.45983488580019943
12,2.902031515516563,-0.41371643988198875,Ravi Balara,Jesse Ryder,2.7763504803819874
13,-0.5035793888581559,-0.41371643988198875,MS Dhoni,Rohit Sharma,-0.6759732812240329
14,-0.8616832174947008,-0.2889018192630336,Manish Pandey,Ishant Sharma,-0.8815125073646771
15,-0.22584106043815494,-0.22003858028535722,Ajinkya Rahane,Ishant Sharma,-0.27321381468598704
16,-0.7678078210941254,-0.41371643988198875,Ravindra Jadeja,Rohit Sharma,-0.9438259868658793
17,-0.14840590349830243,-0.22003858028535722,Rohit Sharma,Ravindra Jadeja,-0.20971399852485656
18,-0.1669474808994058,-0.2239644828622056,Virat Kohli,Ravindra Jadeja,-0.22714458790930908
19,-1.1014295789678243,-0.41371643988198875,Siddharth Trivedi,Rohit Sharma,-1.2820238475247763
20,1.9011662418954658,-0.41371643988198875,Jesse Ryder,Ishant Sharma,1.7617568984052956
21,-1.1014295789678243,-0.41371643988198875,Ajinkya Rahane,Siddharth Trivedi,-1.2820238475247763
22,-1.3683269852667834,5.202941488532659,Ravichandran Ashwin,Rohit Sharma,8.379505645776357
23,1.5971997516255605,-0.41371643988198875,Ravi Balara,Virat Kohli,1.4536210700454644
24,-1.1975126452354496,-0.41371643988198875,Ishant Sharma,Ravichandran Ashwin,-1.3794248313945385
25,-0.9839947201962823,0.7096151458009409,Ravi Balara,Rohit Sharma,0.39170678304204787
26,0.7389976625086878,-0.1816231370526163,Rohit Sharma,Umesh Yadav,0.5049684164235446
27,0.09293317870928873,-0.37700625735691373,Virat Kohli,Ravichandran Ashwin,-0.060006205827722106
28,-0.9839947201962823,-0.41371643988198875,Ravi Balara,Siddharth Trivedi,-1.1629782005728444
29,1.074986285798059,-0.41371643988198875,Manish Pandey,Umesh Yadav,0.9242446946083749
30,1.7690792599888197,-0.1271522598791734,Virat Kohli,Umesh Yadav,1.2355290778545767
31,-0.5230112988545536,-0.22332125589458823,Rohit Sharma,Ravichandran Ashwin,-0.5199348217778261
