,Match Number,City,Stadium,Home Team,Away Team,Batting-Friendly Index,Bowling-Friendly Index,Batting-Friendly Index(matchwise),Bowling-Friendly Index(matchwise),RPO_zscore,RPW_zscore,RPO,RPW
60,61,Dharamsala,HPCA Stadium,Punjab Kings,Mumbai Indians,-0.775141505,-0.874566684,-0.03738822,-0.360989241,0.6967389471589669,3.0651776415011063,8.72,41.63
61,62,Delhi,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
62,63,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,-0.840897704,-0.861788427,-2.162777101,-1.773301974,0.5571510803149098,0.9990922919252846,8.61,31.12
63,64,Bengaluru,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,0.963742079,0.911975237,-0.063561725,-0.363404903,-0.0392698052915078,-0.2079261710999813,8.14,24.98
64,65,Ahmedabad,Narendra Modi Stadium,Gujarat Titans,Lucknow Super Giants,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
65,66,Mumbai,Wankhede Stadium,Mumbai Indians,Delhi Capitals,1.176203389,1.436370827,-0.289279011,-0.319073355,1.6992336272208193,0.73370549630898,9.51,29.77
66,67,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,0.1824235,0.271170164,-0.012615673,-0.110307034,0.1891467040896735,0.7789195429695356,8.32,30.0
67,68,Bengaluru,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,0.963742079,0.911975237,-0.063561725,-0.363404903,-0.0392698052915078,-0.2079261710999813,8.14,24.98
68,69,Ahmedabad,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
69,70,Lucknow,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
70,71,Hyderabad,Rajiv Gandhi International Stadium,TBD,TBD,-0.636501251,-0.565918265,-1.83606026,-1.449415813,0.8870860383099499,0.3778906073715647,8.87,27.96
71,72,Hyderabad,Rajiv Gandhi International Stadium,TBD,TBD,-0.636501251,-0.565918265,-1.83606026,-1.449415813,0.8870860383099499,0.3778906073715647,8.87,27.96
72,73,Kolkata,Eden Gardens,TBD,TBD,1.156499131,1.317777427,0.219909515,0.008796043,-0.6356906908979278,-0.6502374971271553,7.67,22.73
73,74,Kolkata,Eden Gardens,TBD,TBD,1.156499131,1.317777427,0.219909515,0.008796043,-0.6356906908979278,-0.6502374971271553,7.67,22.73
